,Sales_in_thousands,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Sales_in_thousands,1.0,-0.30753809995215164,-0.3615717189635544,-0.014342062795129312,-0.25931137833397017,0.2782798915047405,0.09305378756467982,0.20099662045533043,-0.035282425875276094,0.04444619023897778,0.03667730611912812,-0.2852528662015869,-0.09120480032562124,-0.08639540062297978,0.026377855734662024,-0.0904107152567152,0.04490693885712096,-0.08372660107150608,0.1508647138545816,0.5049405739055449,0.21250644765469895,-0.012959877691977338,-0.03813368109799047,-0.04960786830708535,0.11303782363006598,-0.11540212738881894,-0.05475669837606328,-0.16330645987300785,-0.03967264919792338,-0.09445286429824083,0.022424075584599447,-0.07374502490353164,-0.09868522036724717,0.036853063632830474,-0.11419175798305106,-0.0798858411386433,-0.05468321397363338,-0.02181588214738907,0.13340382390882533,-0.05629426382997475,-0.13336100048781155,-0.23025207113719537,0.7995125037910767
four_year_resale_value,-0.30753809995215164,1.0,0.8323203278181648,0.44025824340740094,0.6796052677837006,-0.037623787987623655,0.15821148172225924,0.02551744414435161,0.3043781488338349,0.2842737047223426,-0.36434178280641644,0.7305955487878417,0.14634884979971458,0.13687785024117874,-0.05092433920136889,0.07976190478425649,-0.10455536114508342,-0.0579306129913059,-0.029853555078745632,-0.129164743860476,-0.045697728031323236,-0.14826233084130538,0.013677841100544798,2.2732828243764298e-17,-0.03807464620751506,0.15417789445194754,0.02955527385503605,0.2926125710170964,-0.08258641084457491,-0.08304436011945085,-0.06957981765212384,-0.019661075799825987,-0.10124891277798982,-0.07130299491749342,0.5122450658780568,3.225261397235118e-17,-0.08712790798621309,3.2252613972351174e-17,-0.03055220441939049,-0.06244961379652705,5.3862657776824164e-17,0.07663781712487144,-0.4793496421079162
Price_in_thousands,-0.3615717189635544,0.8323203278181648,1.0,0.6182295932715115,0.8498514305058296,0.11808044042185402,0.32810681131473207,0.15816118545136018,0.5272298978058921,0.43094194307711003,-0.5059951936657786,0.9067673127486753,0.12676968908816427,0.05779645056109264,-0.006355445707370949,0.1682999073632154,-0.12738489621351792,-0.05181674728264565,-0.06138675349991114,-0.12378354433884467,-0.09182086068243982,-0.15016056908583458,0.012279263990981537,0.0889292836713663,-0.06349958610285905,0.23936872916963164,0.14390444519682644,0.4310947019231798,-0.09417199419848594,-0.0800470679121317,-0.07704939187050669,-0.02441323035160855,-0.054398988336234966,-0.06267596121739338,0.3521602041393397,0.01860392269142769,-0.17002506215824723,-0.04839044096856957,-0.0946431561382693,-0.1378204155202579,0.05158511110061078,0.04200614143240785,-0.578169750361533
Engine_size,-0.014342062795129312,0.44025824340740094,0.6182295932715115,1.0,0.8150103148699176,0.5184234392837224,0.7026176206802425,0.5763860451308906,0.7939372067875887,0.6983407961229388,-0.7571704241878533,0.7968800751187812,-0.016693019485836437,-0.05006072455362659,0.0952473698312451,0.26943952015244066,0.016968295194468335,-0.050603319198926786,0.12653767331525972,0.0779607375038349,-0.09850105628633155,-0.152308906511353,-0.0041068933243770585,-0.0041068933243770585,0.0643428356787953,0.1157217447795024,0.25978225107584857,0.09403016143877008,0.0204107025807495,-0.05534826713791129,-0.030052688206460343,0.08168208685137666,-0.09526860907081104,0.07827812105856409,0.016674685581953133,-0.10475430399946838,-0.19141534326581933,-0.064019420455768,-0.10809932379218541,-0.22127086870894672,-0.15319155285269426,-0.27927173007162726,-0.12098343441495785
Horsepower,-0.25931137833397017,0.6796052677837006,0.8498514305058296,0.8150103148699176,1.0,0.32524675175325174,0.5381149904627277,0.4204720480898923,0.6378232420798834,0.5265541749664552,-0.6110603580159786,0.9909064539495099,0.09222814078769334,2.898272350391693e-05,0.06447889182956135,0.24426395520228733,-0.05521419757351611,0.03355773984554912,0.015312317713076333,-0.07966690721221291,-0.08613274725695173,-0.1520996280824086,0.06358499371135055,0.08341832457045185,-0.045184065942588926,0.22984515273844905,0.20747708836792986,0.22038187048078053,-0.08162440602191842,-0.08306729920811759,-0.06718974082598136,0.017767302769499744,-0.057222621771613955,-0.0012247434963763443,0.23141340824997875,-0.01693190274872017,-0.22713887131905366,-0.043988536658418065,-0.11585734108873155,-0.24495600390845304,-0.01198690304703949,-0.011909589353875545,-0.400528216712968
Wheelbase,0.2782798915047405,-0.037623787987623655,0.11808044042185402,0.5184234392837224,0.32524675175325174,1.0,0.6814016963759154,0.8375659636175489,0.6571325233076893,0.6597062168596117,-0.4993408116614593,0.2887573240748297,0.012552920408301176,0.02327444856379708,0.07810612870906321,0.11416521994019352,-0.11710750322730575,0.050539238709975336,0.25462184182157527,0.18189504728973713,0.0030354539551729473,-0.12304287685238212,0.00937150745508331,0.07666268793434544,-0.13628711751505335,0.03729368857051439,0.1475180395421903,-0.03539296605619395,0.06881924045083772,-0.12657335922063712,-0.008181853831271138,0.08638347649844652,0.053995656166384305,0.0463009891077496,-0.2608460475568432,-0.04521823421129987,-0.08350808061723239,-0.09218360386363877,-0.09407886093362888,-0.20365160080052858,-0.08565596376274676,-0.383083953798697,0.2702033465809203
Width,0.09305378756467982,0.15821148172225924,0.32810681131473207,0.7026176206802425,0.5381149904627277,0.6814016963759154,1.0,0.7001533235909971,0.7105886717503551,0.6485569165308527,-0.5852659470185912,0.5066504296155052,0.06617247549498334,-0.07884125767885132,0.10705756085803078,0.17715734235546898,-0.03693486642728736,0.05572396624058364,0.28759332278946176,0.13655565289689142,-0.03820215118608035,-0.12324308169350605,-0.023043545853860054,0.010230572589002897,-0.07055475864034645,0.05111309142166991,0.24143193015936004,-0.07748141314003681,0.07872743691701346,-0.13729565483420034,-0.07316816918269077,0.004760440054485732,0.16585537629119568,0.04223705179816658,-0.06088717642875749,-0.07315767427029328,-0.20079856880994967,-0.11024987963233297,-0.11570985236770387,-0.18755375178808673,-0.09484844905371871,-0.24147205595566373,0.03830927508513496
Length,0.20099662045533043,0.02551744414435161,0.15816118545136018,0.5763860451308906,0.4204720480898923,0.8375659636175489,0.7001533235909971,1.0,0.6227893314975619,0.5618844048674468,-0.4194428441418347,0.3709507408296686,0.022130440667766833,-0.07850864075384621,0.14966628618259456,0.18958485557301696,-0.028965706954988815,0.14322401164377654,0.16373745546193344,0.1578037297517313,-0.0438650530440697,-0.12811442911414447,0.03910340645731871,0.024363745766643536,-0.20728740859423234,0.035429199596649606,0.23768365052115048,-0.13934047425592738,0.10780490086972598,-0.08339969057272255,-0.01972069947024893,0.09837567218274085,-0.11451522934895747,0.09659176405277081,-0.14988387580463503,-0.014228536701448287,-0.061394664775745976,-0.059538220976453206,-0.10361028204197043,-0.30453272117195573,-0.059117931291770544,-0.12970073398939752,0.20722588403841924
Curb_weight,-0.035282425875276094,0.3043781488338349,0.5272298978058921,0.7939372067875887,0.6378232420798834,0.6571325233076893,0.7105886717503551,0.6227893314975619,1.0,0.8681310867664016,-0.8296994487707802,0.6301366061908212,0.02444187630257946,-0.021871158040746328,0.05010858649374767,0.20446332040154838,-0.14563498768336253,-0.024154199700587995,0.109174984821286,0.035708580778171635,-0.015363277606504607,-0.16576643570844302,-0.004831748260698241,0.03521360845955506,-0.0013967170830933564,0.19507102598972156,0.24512764027787223,0.11851428831359682,0.02929680943478403,-0.047365652457197545,0.011068621219056192,0.06598350224280757,-0.10750011766574652,0.007662450881817282,-0.09462719731092997,-0.0450392910285613,-0.2214741472367838,-0.02013657784746639,-0.07076762727631428,-0.16195955233645626,-0.03058882147243076,-0.5194052583879619,-0.051903578873150044
Fuel_capacity,0.04444619023897778,0.2842737047223426,0.43094194307711003,0.6983407961229388,0.5265541749664552,0.6597062168596117,0.6485569165308527,0.5618844048674468,0.8681310867664016,1.0,-0.8212960505459405,0.5219013886835465,0.058295759940461205,-0.026283773689289993,-0.008438307442681923,0.1362819059676483,-0.14895015943085915,-0.07145874589903038,0.24832741328163468,0.08067701360165543,-0.0414818963950077,-0.12557279142856279,0.01164269276294695,0.009533215328545381,0.0693278730226026,0.1357775470173391,0.185777955556318,0.0632923643252202,-0.006026328022837484,0.01921724260610692,0.014338658641008927,0.013230988340643296,-0.12026636238696309,-0.001649665212955472,-0.034864306086511046,-0.0074245938036940256,-0.26034163156193335,-0.046331767534679914,-0.011786623670127663,-0.17058884967440077,-0.00602632802283748,-0.5947582835919234,-0.01954939736151081
